feature,coef
quan,0.00684681385518822
xa,-0.03735089846974833
Kinh,-0.09957224735319839
Poor,-0.11017515171889458
Moneysupp,0.036306132455185346
Electricity,0.02066141038414164
disCen,0.03394349570726044
disRoad,0.06721855489342866
disSell,0.06845668530950687
Relation,0.015018617179403015
Male,0.07893553891639887
Age,-0.025673604862124222
Married,0.09541622217462985
Labor,0.2597562820817956
hhsize,-0.014280987416821931
Irrsize,0.387372603376731
Cropsize,0.3300319316479455
Treat,-0.2646558607634302
Contract,0.030999502897985535
Rice,-0.17974349265914014
Veg,0.14047270013564553
Coffee,0.31335530082530727
Tea,0.05251258261690525
Asset,-0.07965436411606056
natShock,0.10981604562588174
ecoShock,0.007911845496241195
socShock,-0.023619168005919195
tinh_Dak Nong,-0.34071608059330066
tinh_Dien Bien,0.4005449964215097
tinh_Ha Tay,-0.5171154042216409
tinh_Khanh Hoa,-1.3047898321781488
tinh_Lai Chau,0.32918395548818047
tinh_Lam Dong,-0.04300765736166767
tinh_Lao Cai,0.1889004807980878
tinh_Long An,0.051736165086081524
tinh_Nghe An,0.06688888267963437
tinh_Phu Tho,0.21355489026082147
tinh_Quang Nam,-0.41014411534757916
Edu_Junior college diploma,0.5731687900281853
Edu_Long-term vocational training,1.2139089051428085
Edu_Masters degree,-6.512914774512157
Edu_No Diploma,1.7170710993331963
Edu_Professional high shool,1.323840677245546
Edu_Short-term vocational training,1.6332419205319053
