feature,importance
Cropsize,0.42367295241354497
Irrsize,0.23453083747255812
Kinh_1.0,0.056652949382579885
disSell,0.05001040127161537
Labor,0.04088223358743382
Age,0.034810904506434294
disRoad,0.030122936523856527
disCen,0.02714646603293509
tinh_Ha Tay,0.012769568562987669
Male_1.0,0.010128162196197651
tinh_Khanh Hoa,0.009025585186215239
Married_1.0,0.006893668926872949
Edu_No Diploma,0.0063792749644181026
Poor_1.0,0.0056104397330931245
tinh_Long An,0.004819737899587142
tinh_Dak Nong,0.0048048662730266044
tinh_Quang Nam,0.004578481567090126
tinh_Dien Bien,0.004442680466999342
tinh_Phu Tho,0.004340254462735275
natShock_1.0,0.004281594198769551
Relation_1.0,0.0036103420543655033
tinh_Lai Chau,0.003302610716636087
tinh_Lao Cai,0.0026038515563837164
socShock_1.0,0.002348979842002012
Tea_1.0,0.0020475061117959667
Edu_Short-term vocational training,0.0018879916331281264
ecoShock_1.0,0.0015869695559621265
tinh_Nghe An,0.0015118457419002512
tinh_Lam Dong,0.0013567324364752273
Electricity_1.0,0.0012728667752259439
Edu_Professional high shool,0.0006786777925967215
Edu_Junior college diploma,0.0006252371926575052
Edu_Working elsewhere,0.00048659293546041973
Edu_Long-term vocational training,0.00045195411614219755
Edu_Other,0.00032384591031741613
Edu_Masters degree,0.0
Edu_Education,0.0
