feature,importance
Cropsize,0.43497095
Kinh_1.0,0.08629838
disSell,0.06367711
Irrsize,0.05836822
ecoShock_1.0,0.02572759
Labor,0.02548321
socShock_1.0,0.02237615
disCen,0.021552134
Age,0.02120484
Edu_Professional high shool,0.01989878
Edu_Short-term vocational training,0.019481407
disRoad,0.019432925
Edu_Working elsewhere,0.018200694
Married_1.0,0.016910497
Edu_No Diploma,0.016276399
Relation_1.0,0.016244939
Male_1.0,0.016141735
Poor_1.0,0.015691735
Tea_1.0,0.015202982
Edu_Long-term vocational training,0.014791446
natShock_1.0,0.01472741
Edu_Other,0.0142715685
Edu_Junior college diploma,0.012998304
Electricity_1.0,0.010070609
Edu_Education,0.0
